time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143625.8570907, 645, 1079, 350, 111, 271, 117
1671143625.9120913, 750, 1054, 350, 112, 271, 117
1671143625.967089, 805, 1021, 350, 112, 271, 118
1671143626.0230916, 829, 1007, 350, 112, 271, 118
1671143626.083092, 832, 1007, 351, 112, 272, 118
1671143626.134089, 836, 1015, 351, 112, 273, 117
1671143626.1890922, 845, 1032, 352, 112, 272, 118
1671143626.2361012, 841, 1042, 350, 112, 272, 118
1671143626.283087, 830, 1047, 350, 112, 272, 118
1671143626.328087, 826, 1049, 350, 112, 271, 118
1671143626.3691175, 825, 1050, 349, 113, 271, 119
1671143626.4060934, 825, 1050, 349, 113, 271, 119
1671143626.4471264, 825, 1050, 350, 112, 271, 119
1671143626.4840896, 825, 1050, 350, 113, 271, 119
1671143626.5220883, 825, 1050, 351, 112, 272, 118
1671143626.5740957, 825, 1050, 352, 112, 272, 118
1671143626.61609, 825, 1050, 352, 112, 272, 118
1671143626.6610885, 825, 1050, 352, 112, 273, 118
1671143626.7100887, 825, 1050, 352, 113, 272, 118
1671143626.7540884, 825, 1050, 352, 113, 272, 118
1671143626.8000896, 825, 1050, 351, 112, 272, 119
1671143626.8430896, 825, 1050, 351, 112, 272, 119
1671143626.9070923, 825, 1050, 350, 113, 271, 119
1671143626.9570932, 825, 1050, 350, 113, 271, 119
1671143626.9980886, 825, 1050, 351, 114, 271, 119
1671143627.0410886, 825, 1050, 351, 113, 272, 119
1671143627.0850906, 825, 1050, 351, 113, 272, 119
1671143627.1270883, 825, 1050, 352, 113, 272, 118
1671143627.190094, 820, 975, 352, 111, 272, 117
1671143627.2550957, 824, 679, 352, 110, 272, 117
1671143627.3060887, 828, 594, 351, 111, 271, 117
1671143627.3650887, 828, 592, 351, 111, 271, 117
1671143627.4150908, 832, 598, 349, 112, 270, 118
1671143627.4660883, 860, 624, 349, 112, 270, 119
1671143627.5150888, 898, 611, 350, 112, 271, 118
1671143627.57109, 964, 558, 351, 112, 271, 118
1671143627.64309, 1079, 492, 351, 112, 271, 117
1671143627.7080908, 1115, 477, 349, 112, 270, 118
1671143627.7620893, 1147, 470, 349, 112, 270, 118
1671143627.8170893, 1176, 469, 349, 112, 269, 118
1671143627.8650887, 1183, 469, 348, 112, 268, 118
1671143627.9060876, 1183, 469, 348, 112, 268, 119
1671143627.9470875, 1183, 469, 348, 112, 268, 119
1671143628.009089, 1183, 469, 349, 112, 269, 118
1671143628.0660892, 1183, 469, 351, 111, 271, 117
1671143628.1110883, 1156, 426, 353, 110, 275, 116
1671143628.1570911, 1046, 318, 353, 110, 274, 115
1671143628.2070885, 793, 183, 353, 110, 275, 116
1671143628.2550895, 567, 114, 352, 110, 274, 116
1671143628.3120873, 487, 85, 352, 109, 273, 116
1671143628.3590899, 493, 84, 352, 110, 273, 116
1671143628.4110873, 713, 97, 349, 110, 269, 116
1671143628.472091, 1224, 103, 350, 111, 270, 117
1671143628.5410907, 1658, 91, 350, 110, 271, 116
1671143628.597089, 1679, 84, 351, 110, 272, 116
1671143628.6540926, 1696, 67, 348, 110, 269, 116
1671143628.7050898, 1769, 53, 347, 110, 268, 116
1671143628.7630904, 1867, 54, 347, 110, 267, 117
1671143628.814088, 1890, 63, 347, 110, 267, 117
1671143628.8640883, 1899, 74, 345, 110, 266, 117
1671143628.91609, 1903, 91, 344, 110, 266, 117
1671143628.9620879, 1906, 103, 345, 110, 266, 117
1671143629.0050893, 1906, 105, 346, 111, 267, 117
1671143629.054091, 1897, 110, 346, 111, 267, 117
1671143629.1040885, 1883, 111, 346, 111, 268, 116
1671143629.148089, 1874, 111, 347, 111, 268, 116
1671143629.1920915, 1865, 111, 347, 111, 267, 117
1671143629.2340913, 1863, 111, 347, 111, 267, 117
1671143629.2760909, 1862, 111, 346, 111, 267, 116
1671143629.3190882, 1858, 110, 345, 111, 267, 117
1671143629.3650873, 1856, 110, 345, 111, 267, 116
1671143629.4060934, 1856, 110, 346, 111, 267, 116
1671143629.4470882, 1856, 110, 346, 111, 267, 116
1671143629.489088, 1855, 110, 346, 111, 267, 116
1671143629.5460925, 1855, 110, 347, 111, 268, 116
1671143629.6050894, 1833, 113, 349, 110, 269, 115
1671143629.6600912, 1776, 114, 350, 110, 271, 115
1671143629.7260888, 1543, 69, 349, 109, 270, 115
1671143629.779089, 1211, 17, 350, 109, 271, 114
1671143629.8270893, 952, 13, 350, 109, 271, 114
1671143629.8720891, 829, 9, 350, 109, 271, 114
1671143629.9160883, 801, 7, 349, 109, 271, 114
1671143629.9570885, 798, 6, 350, 109, 271, 114
1671143629.999087, 791, 4, 350, 109, 272, 114
1671143630.0410876, 757, 3, 352, 109, 274, 114
1671143630.0800877, 696, 18, 352, 109, 274, 114
1671143630.1210892, 630, 40, 353, 109, 275, 114
1671143630.162088, 571, 59, 353, 109, 275, 114
1671143630.2090878, 547, 60, 353, 109, 275, 113
1671143630.2540877, 541, 60, 353, 109, 274, 114
1671143630.2990885, 541, 60, 352, 109, 273, 114
1671143630.3420875, 541, 60, 352, 108, 273, 114
1671143630.3860908, 541, 60, 351, 109, 273, 115
1671143630.4330878, 541, 60, 351, 109, 273, 115
1671143630.4730873, 541, 60, 352, 109, 274, 115
1671143630.512089, 541, 60, 353, 109, 274, 114
1671143630.5530884, 541, 60, 353, 109, 274, 114
1671143630.5990882, 541, 60, 354, 109, 275, 114
1671143630.6370883, 541, 60, 355, 109, 276, 114
1671143630.6760874, 541, 60, 355, 110, 276, 115
1671143630.71509, 541, 60, 354, 109, 275, 115
1671143630.7530878, 541, 60, 353, 109, 275, 115
1671143630.7900884, 541, 60, 351, 111, 272, 117
1671143630.828091, 541, 60, 351, 111, 272, 117
1671143630.865088, 541, 60, 349, 113, 271, 118
1671143630.9020875, 541, 60, 349, 113, 271, 118
1671143630.939087, 541, 60, 348, 113, 270, 119
1671143630.9770887, 541, 60, 349, 113, 270, 119
1671143631.0140874, 541, 60, 349, 113, 270, 119
1671143631.0520883, 541, 60, 350, 113, 272, 119
1671143631.0960896, 541, 60, 350, 113, 272, 119
1671143631.1380885, 541, 60, 355, 109, 276, 115
1671143631.1801085, 541, 60, 359, 105, 280, 111
1671143631.2310877, 541, 60, 359, 105, 280, 110
1671143631.2900882, 541, 60, 359, 104, 281, 109
1671143631.3420882, 541, 60, 358, 104, 279, 109
1671143631.3850899, 541, 60, 358, 103, 279, 109
1671143631.434089, 541, 60, 358, 102, 280, 108
1671143631.4950905, 541, 60, 358, 102, 280, 108
1671143631.5670943, 541, 60, 361, 102, 282, 108
1671143631.6400921, 541, 60, 361, 102, 282, 108
