time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143105.1363177, 890, 303, 354, 114, 273, 120
1671143105.1823208, 891, 356, 354, 114, 273, 120
1671143105.23232, 893, 379, 354, 114, 272, 120
1671143105.3013225, 893, 382, 353, 114, 272, 120
1671143105.3693206, 893, 382, 353, 113, 272, 120
1671143105.4173179, 893, 382, 352, 114, 272, 119
1671143105.4773216, 893, 382, 352, 114, 271, 120
1671143105.5293188, 893, 382, 351, 114, 271, 119
1671143105.576317, 893, 382, 351, 114, 271, 119
1671143105.6223197, 893, 382, 351, 113, 270, 117
1671143105.6673186, 898, 387, 351, 113, 270, 117
1671143105.7123175, 922, 405, 351, 112, 270, 117
1671143105.755318, 954, 420, 352, 112, 271, 117
1671143105.798318, 965, 429, 352, 112, 270, 117
1671143105.848319, 973, 437, 352, 112, 270, 117
1671143105.89832, 993, 451, 351, 112, 270, 117
1671143105.945317, 1010, 461, 351, 112, 270, 117
1671143105.9873183, 1020, 468, 351, 112, 271, 117
1671143106.0303178, 1029, 474, 351, 112, 270, 117
1671143106.0733194, 1042, 482, 351, 112, 271, 117
1671143106.1153166, 1051, 488, 351, 112, 271, 117
1671143106.1593196, 1056, 490, 351, 112, 271, 117
1671143106.2013175, 1057, 491, 351, 113, 270, 118
1671143106.2426753, 1058, 492, 351, 113, 271, 118
1671143106.2833183, 1059, 493, 351, 113, 271, 118
1671143106.3243175, 1060, 493, 351, 113, 271, 118
1671143106.3693192, 1061, 494, 351, 113, 271, 118
1671143106.4143178, 1062, 495, 351, 113, 271, 118
1671143106.464319, 1064, 497, 351, 113, 271, 118
1671143106.512319, 1069, 501, 351, 113, 270, 118
1671143106.5543196, 1078, 506, 351, 113, 270, 118
1671143106.5993185, 1092, 515, 350, 114, 270, 119
1671143106.6443198, 1134, 543, 350, 115, 270, 119
1671143106.6913183, 1177, 573, 350, 115, 270, 119
1671143106.7393196, 1212, 600, 350, 114, 270, 120
1671143106.7833185, 1226, 610, 350, 114, 270, 120
1671143106.8263195, 1227, 611, 351, 114, 271, 119
1671143106.8693206, 1227, 611, 351, 115, 270, 119
1671143106.9103684, 1227, 611, 351, 115, 270, 119
1671143106.951319, 1227, 611, 351, 114, 270, 120
1671143106.9933546, 1227, 611, 351, 114, 270, 119
1671143107.032319, 1227, 611, 351, 114, 270, 119
1671143107.077319, 1227, 611, 351, 113, 271, 119
1671143107.1193206, 1227, 612, 351, 113, 271, 119
1671143107.1673186, 1232, 637, 351, 113, 271, 119
1671143107.2973225, 1267, 749, 352, 113, 271, 119
1671143107.3643217, 1304, 825, 351, 114, 271, 119
1671143107.4425733, 1329, 851, 351, 115, 271, 120
1671143107.5093198, 1330, 852, 351, 115, 271, 120
1671143107.5693216, 1334, 850, 350, 115, 270, 120
1671143107.6273253, 1338, 848, 351, 115, 270, 120
1671143107.6773174, 1338, 848, 351, 115, 270, 120
1671143107.723319, 1338, 848, 351, 115, 270, 120
1671143107.777318, 1338, 848, 351, 115, 270, 121
1671143107.8443205, 1338, 847, 351, 115, 271, 121
